Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
Total,Kentucky,21,2017,2017,,,1314,4454189,29.5
,Kentucky,21,2018,2018,Female,F,409,2266891,18
,Kentucky,21,2018,2018,Male,M,744,2201511,33.8
Total,Kentucky,21,2018,2018,,,1153,4468402,25.8
,Kentucky,21,2019,2019,Female,F,428,2266644,18.9
,Kentucky,21,2019,2019,Male,M,798,2201029,36.3
Total,Kentucky,21,2019,2019,,,1226,4467673,27.4
,Kentucky,21,2020,2020,Female,F,577,2271906,25.4
,Kentucky,21,2020,2020,Male,M,1326,2205345,60.1
Total,Kentucky,21,2020,2020,,,1903,4477251,42.5
Total,Kentucky,21,,,,,9114,35538333,25.6
,Louisiana,22,2013,2013,Female,F,100,2361537,4.2
,Louisiana,22,2013,2013,Male,M,238,2263933,10.5
Total,Louisiana,22,2013,2013,,,338,4625470,7.3
,Louisiana,22,2014,2014,Female,F,91,2375737,3.8
,Louisiana,22,2014,2014,Male,M,241,2273939,10.6
Total,Louisiana,22,2014,2014,,,332,4649676,7.1
,Louisiana,22,2015,2015,Female,F,124,2386915,5.2
,Louisiana,22,2015,2015,Male,M,242,2283809,10.6
Total,Louisiana,22,2015,2015,,,366,4670724,7.8
,Louisiana,22,2016,2016,Female,F,157,2392296,6.6
,Louisiana,22,2016,2016,Male,M,316,2289370,13.8
Total,Louisiana,22,2016,2016,,,473,4681666,10.1
,Louisiana,22,2017,2017,Female,F,162,2394887,6.8
,Louisiana,22,2017,2017,Male,M,389,2289446,17
Total,Louisiana,22,2017,2017,,,551,4684333,11.8
,Louisiana,22,2018,2018,Female,F,164,2385219,6.9
,Louisiana,22,2018,2018,Male,M,403,2274759,17.7
Total,Louisiana,22,2018,2018,,,567,4659978,12.2
,Louisiana,22,2019,2019,Female,F,221,2381744,9.3
,Louisiana,22,2019,2019,Male,M,488,2267050,21.5
Total,Louisiana,22,2019,2019,,,709,4648794,15.3
,Louisiana,22,2020,2020,Female,F,333,2381158,14
,Louisiana,22,2020,2020,Male,M,829,2264160,36.6
Total,Louisiana,22,2020,2020,,,1162,4645318,25
Total,Louisiana,22,,,,,4498,37265959,12.1
,Maine,23,2013,2013,Female,F,47,678082,6.9
,Maine,23,2013,2013,Male,M,82,650220,12.6
Total,Maine,23,2013,2013,,,129,1328302,9.7
